	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	R 2M	R 4M	R 6M	R 8M	R 12M	R 18M	R 24M
							
S	-0.0241	0.0495	0.0189	-0.0416	-0.0502	-0.0171	0.0536
	(0.214)	(0.164)	(0.133)	(0.119)	(0.0985)	(0.0838)	(0.0714)
D	-0.350	-0.339	-0.343	-0.353	-0.0897	-0.0859	-0.113
	(0.291)	(0.315)	(0.305)	(0.318)	(0.234)	(0.0898)	(0.0875)
SD	0.348	0.134	-0.0716	0.115	0.216	0.130	0.108
	(0.312)	(0.235)	(0.187)	(0.169)	(0.140)	(0.118)	(0.101)
Constant	0.205	0.190	0.600**	0.437	0.634**	0.610***	0.475***
	(0.269)	(0.289)	(0.279)	(0.364)	(0.247)	(0.0961)	(0.0925)
							
Observations	123	245	365	486	731	1,096	1,460
R-squared	0.074	0.050	0.053	0.056	0.035	0.023	0.021
FE year	YES	YES	YES	YES	YES	YES	YES
FE month	YES	YES	YES	YES	YES	YES	YES
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
