fecha,departamento,municipio,dia,hora,barrio,zona,clase de sitio,arma empleada,móvil agresor,móvil victima,cantidad,tipo
2012-01-02,CESAR,VALLEDUPAR (CT),Lunes,00:00:00,CASIMIRO MASTRE,URBANA,PARQUEADERO,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HP
2012-01-03,CESAR,VALLEDUPAR (CT),Martes,09:00:00,CENTRO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HP
2012-01-03,CESAR,VALLEDUPAR (CT),Martes,17:00:00,CENTRO,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HP
2012-01-04,CESAR,VALLEDUPAR (CT),Miércoles,10:20:00,GAITAN,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HP
2012-01-05,CESAR,VALLEDUPAR (CT),Jueves,15:30:00,VILLA MONICA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR MOTOCICLETA,PASAJERO MOTOCICLETA,1,HP
2012-01-05,CESAR,VALLEDUPAR (CT),Jueves,15:40:00,ALAMOS II,URBANA,VIAS PUBLICAS,ARMA DE FUEGO,CONDUCTOR MOTOCICLETA,A PIE,1,HP
2012-01-06,CESAR,VALLEDUPAR (CT),Viernes,10:10:00,LA POPA,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,CONDUCTOR MOTOCICLETA,CONDUCTOR MOTOCICLETA,1,HP
2012-01-06,CESAR,VALLEDUPAR (CT),Viernes,04:10:00,VILLA CORELCA,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,1,HP
2012-01-07,CESAR,VALLEDUPAR (CT),Sábado,14:00:00,TERMINAL DE TRANSPORTES,URBANA,TERMINAL DE TRANSPORTES,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HP
2012-01-07,CESAR,VALLEDUPAR (CT),Sábado,08:00:00,LA POPA,URBANA,INSTALACIONES DEL EJERCITO,SIN EMPLEO DE ARMAS,A PIE,A PIE,1,HP
2012-01-07,CESAR,VALLEDUPAR (CT),Sábado,19:00:00,CENTRO,URBANA,VIAS PUBLICAS,ARMA BLANCA / CORTOPUNZANTE,BICICLETA,A PIE,1,HP
